date,id,content,username,filtered_tokens,preprocessed_text
2023-03-28 15:30:17+00:00,1640738085058093056,"Rais Ruto asema hatoruhusu kutojali kuwa sehemu ya mazungumzo ya nchi
https://t.co/0OXyEWvxp9 https://t.co/hbXYPGD9yk",bbcswahili,"['rai', 'ruto', 'asema', 'hatoruhusu', 'kutojali', 'kuwa', 'sehemu', 'mazungumzo', 'nchi', 'https://t.co/0oxyewvxp9', 'https://t.co/hbxypgd9yk']",rai ruto asema hatoruhusu kutojali kuwa sehemu mazungumzo nchi https://t.co/0oxyewvxp9 https://t.co/hbxypgd9yk
2023-03-28 15:00:42+00:00,1640730641351290880,"Nyumba ya babu yake naibu wa rais wa Marekani yatafutwa Zambia
https://t.co/3qi462mM1J https://t.co/jbxRvabiQx",bbcswahili,"['nyumba', 'babu', 'naibu', 'rai', 'marekani', 'yatafutwa', 'zambia', 'https://t.co/3qi462mm1j', 'https://t.co/jbxrvabiqx']",nyumba babu naibu rai marekani yatafutwa zambia https://t.co/3qi462mm1j https://t.co/jbxrvabiqx
2023-03-28 14:30:06+00:00,1640722938344140800,"Korea Kaskazini yasema silaha zake za nyuklia ni kuziadhibu Marekani na Korea Kusini kwa kufanya mazoezi yao makubwa zaidi ya kijeshi pamoja kwa miaka mingi.

https://t.co/7MV0lYdyXv",bbcswahili,"['korea', 'kaskazini', 'yasema', 'silaha', 'nyuklia', 'kuziadhibu', 'marekani', 'korea', 'kusini', 'kufanya', 'mazoezi', 'makubwa', 'kijeshi', 'pamoja', 'miaka', 'mingi.', 'https://t.co/7mv0lydyxv']",korea kaskazini yasema silaha nyuklia kuziadhibu marekani korea kusini kufanya mazoezi makubwa kijeshi pamoja miaka mingi. https://t.co/7mv0lydyxv
2023-03-28 14:01:19+00:00,1640715696442343425,"Makaburi ya Algeria yalivyonifunza kuhusu asili yangu

https://t.co/r9o5Vo4ixR",bbcswahili,"['makaburi', 'algeria', 'yalivyonifunza', 'kuhusu', 'asili', 'https://t.co/r9o5vo4ixr']",makaburi algeria yalivyonifunza kuhusu asili https://t.co/r9o5vo4ixr
2023-03-28 13:30:02+00:00,1640707823469207554,"Polisi wa Kenya wachunguzwa kwa kushindwa kulinda mali za raia
https://t.co/2lenpF5OnP https://t.co/ZemgF0F1FV",bbcswahili,"['polisi', 'kenya', 'wachunguzwa', 'kushindwa', 'kulinda', 'mali', 'raia', 'https://t.co/2lenpf5onp', 'https://t.co/zemgf0f1fv']",polisi kenya wachunguzwa kushindwa kulinda mali raia https://t.co/2lenpf5onp https://t.co/zemgf0f1fv
2023-03-28 13:00:14+00:00,1640700323856629761,"Urusi yaonya Uingereza kutosambaza makombora ya urani iliyorutubishwa kwa Ukraine, ikisema yana ""jumuisha nyuklia"". 

https://t.co/HFPypxwNC3",bbcswahili,"['urusi', 'yaonya', 'uingereza', 'kutosambaza', 'makombora', 'urani', 'iliyorutubishwa', 'ukraine,', 'ikisema', 'yana', '""jumuisha', 'nyuklia"".', 'https://t.co/hfpypxwnc3']","urusi yaonya uingereza kutosambaza makombora urani iliyorutubishwa ukraine, ikisema yana ""jumuisha nyuklia"". https://t.co/hfpypxwnc3"
2023-03-28 12:30:07+00:00,1640692743964852224,"Angélique Kidjo ashinda tuzo ya muziki ya 'Polar'
https://t.co/hadCkSrFdI https://t.co/JMRWlaXicO",bbcswahili,"['angéliqu', 'kidjo', 'ashinda', 'tuzo', 'muziki', ""'polar'"", 'https://t.co/hadcksrfdi', 'https://t.co/jmrwlaxico']",angéliqu kidjo ashinda tuzo muziki 'polar' https://t.co/hadcksrfdi https://t.co/jmrwlaxico
2023-03-28 12:00:13+00:00,1640685217726840834,"Polisi wa Kenya watembelea shamba la aliyekuwa rais baada ya uvamizi
https://t.co/ei7A6BPCqL https://t.co/MvZib15PwY",bbcswahili,"['polisi', 'kenya', 'watembelea', 'shamba', 'la', 'aliyekuwa', 'rai', 'baada', 'uvamizi', 'https://t.co/ei7a6bpcql', 'https://t.co/mvzib15pwi']",polisi kenya watembelea shamba la aliyekuwa rai baada uvamizi https://t.co/ei7a6bpcql https://t.co/mvzib15pwi
2023-03-28 11:30:09+00:00,1640677651256954881,"Wasanii wa Tanzania wang'ara katika orodha ya miziki anayosikiliza Kamala Harrison
https://t.co/550c8tsSFx https://t.co/i7jVn1FJoJ",bbcswahili,"['wasanii', 'tanzania', ""wang'ara"", 'katika', 'orodha', 'miziki', 'anayosikiliza', 'kamala', 'harrison', 'https://t.co/550c8tssfx', 'https://t.co/i7jvn1fjoj']",wasanii tanzania wang'ara katika orodha miziki anayosikiliza kamala harrison https://t.co/550c8tssfx https://t.co/i7jvn1fjoj
2023-03-28 10:30:11+00:00,1640662562663456769,"Afisa polisi ahukumiwa kifungo cha miaka 10 kwa kumuua muandamaji
https://t.co/ApGqoCphLl https://t.co/avSpMYz3Z9",bbcswahili,"['afisa', 'polisi', 'ahukumiwa', 'kifungo', 'cha', 'miaka', '10', 'kumuua', 'muandamaji', 'https://t.co/apgqocphl', 'https://t.co/avspmyz3z9']",afisa polisi ahukumiwa kifungo cha miaka 10 kumuua muandamaji https://t.co/apgqocphl https://t.co/avspmyz3z9
