date,id,content,username
2022-11-25 16:25:09+00:00,1596178186479763457,"Watching live from Lugari Mbagara,naipenda sana hii longalonga #NipasheWikendi",oscar_sagara1
2022-10-30 16:31:57+00:00,1586757813321273347,@citizentvkenya @RashidAbdalla @LuluHassan Following from Njoro Sub County #NipasheWikendi,AludaMika1
2022-10-21 16:53:48+00:00,1583501818625425408,"@citizentvkenya @MKapombe Watching from kangoya kiambu city 🎤
#NipasheWikendi",VirginiaKangon3
2022-10-07 16:35:15+00:00,1578423719797854208,@citizentvkenya @MKapombe Watching from Njoro Sub County #NipasheWikendi,aludamika47
2022-10-02 16:08:08+00:00,1576604955850706944,"@citizentvkenya Sir ?what happens to delocalisation of teachers since it was one of ua area of interest,especially couples working far away from each other leaving their kids with housemanagers.I being one of so many teachers affected? #NipasheWikendi  @LuluHassan  @RashidAbdalla",madina31hassan
2022-07-31 15:54:10+00:00,1553771008254935042,When John Kiarie speaks you may think he has done so much for Dagoretti South. Dagoretti South was a dusty rural outpost that former MP Dennis Waweru lifted up from the mud. Today nothing much is going on. Kwa ground Kiarie is only good in speaking sheng.    #NipasheWikendi,bkairu5
2022-07-30 16:01:05+00:00,1553410360564240384,@citizentvkenya Following from Njoro Sub County #NipasheWikendi,AludaMika
2022-07-09 15:52:23+00:00,1545798023598542849,Hatukatai kusaidi but you can help from a distance… Some things have to change… - DEE Presenter 001 #NipasheWikendi https://t.co/MYB7kRz5wP,citizentvkenya
2022-07-02 16:17:42+00:00,1543267683541684224,@RashidAbdalla #Nipashewikendi @LuluHassan @RashidAbdalla Watching from kiptulus Nandi niko na miaka 10 kwa ndoa na nilimwoa msichana sasa ni bibi wangu akiwa na umri mdogo 15 ✊✊,Chesingak
2022-07-02 16:17:32+00:00,1543267640877137921,@LuluHassan #Nipashewikendi @LuluHassan @RashidAbdalla Watching from kiptulus Nandi niko na miaka 10 kwa ndoa na nilimwoa msichana sasa ni bibi wangu akiwa na umri mdogo 15 ✊✊,Chesingak
